Date,Daily Max 8-hour CO Concentration,units_CO,Daily Mean PM2.5 Concentration,units_PM,Daily Max 8-hour Ozone Concentration,units_O3
01/01/2018,0.2,ppm,7.5,ug/m3 LC,0.037,ppm
01/02/2018,0.7,ppm,7.5,ug/m3 LC,0.034,ppm
01/02/2018,0.7,ppm,10.4,ug/m3 LC,0.034,ppm
01/03/2018,0.9,ppm,15.2,ug/m3 LC,0.032,ppm
01/04/2018,0.2,ppm,9.7,ug/m3 LC,0.035,ppm
01/05/2018,0.2,ppm,5.7,ug/m3 LC,0.036,ppm
01/05/2018,0.2,ppm,9.8,ug/m3 LC,0.036,ppm
01/06/2018,0.2,ppm,7.6,ug/m3 LC,0.036,ppm
01/07/2018,0.3,ppm,9.4,ug/m3 LC,0.037,ppm
01/08/2018,0.5,ppm,6.9,ug/m3 LC,0.029,ppm
01/08/2018,0.5,ppm,9.7,ug/m3 LC,0.029,ppm
01/09/2018,0.5,ppm,11.8,ug/m3 LC,0.032,ppm
01/10/2018,0.5,ppm,9.3,ug/m3 LC,0.036,ppm
01/11/2018,0.3,ppm,8.5,ug/m3 LC,0.028,ppm
01/11/2018,0.3,ppm,12.5,ug/m3 LC,0.028,ppm
01/12/2018,0.2,ppm,1.3,ug/m3 LC,0.038,ppm
01/13/2018,0.2,ppm,4.7,ug/m3 LC,0.035,ppm
01/14/2018,0.1,ppm,3.3,ug/m3 LC,NA,NA
01/14/2018,0.1,ppm,6.2,ug/m3 LC,NA,NA
01/16/2018,0.6,ppm,16.5,ug/m3 LC,0.026,ppm
01/17/2018,0.7,ppm,12.2,ug/m3 LC,0.031,ppm
01/17/2018,0.7,ppm,15.4,ug/m3 LC,0.031,ppm
01/18/2018,0.3,ppm,10.8,ug/m3 LC,0.038,ppm
01/19/2018,0.6,ppm,14.9,ug/m3 LC,0.035,ppm
01/20/2018,0.8,ppm,9.1,ug/m3 LC,0.038,ppm
01/20/2018,0.8,ppm,12.8,ug/m3 LC,0.038,ppm
01/21/2018,0.8,ppm,10.5,ug/m3 LC,0.037,ppm
01/22/2018,0.9,ppm,16,ug/m3 LC,0.035,ppm
01/23/2018,0.3,ppm,4,ug/m3 LC,0.04,ppm
01/23/2018,0.3,ppm,4.8,ug/m3 LC,0.04,ppm
01/24/2018,0.2,ppm,6.2,ug/m3 LC,0.033,ppm
01/25/2018,0.6,ppm,10.2,ug/m3 LC,0.034,ppm
01/26/2018,0.9,ppm,9.3,ug/m3 LC,0.03,ppm
01/26/2018,0.9,ppm,13.2,ug/m3 LC,0.03,ppm
01/27/2018,0.5,ppm,10,ug/m3 LC,0.04,ppm
01/28/2018,0.3,ppm,5.9,ug/m3 LC,0.032,ppm
01/29/2018,0.2,ppm,1.8,ug/m3 LC,0.027,ppm
01/29/2018,0.2,ppm,3.8,ug/m3 LC,0.027,ppm
01/30/2018,0.2,ppm,7,ug/m3 LC,0.037,ppm
01/31/2018,0.4,ppm,8,ug/m3 LC,0.034,ppm
02/01/2018,0.3,ppm,6.6,ug/m3 LC,0.041,ppm
02/01/2018,0.3,ppm,9.4,ug/m3 LC,0.041,ppm
02/02/2018,0.2,ppm,4.9,ug/m3 LC,0.037,ppm
02/03/2018,0.2,ppm,6.8,ug/m3 LC,0.034,ppm
02/04/2018,0.2,ppm,4.9,ug/m3 LC,0.033,ppm
02/04/2018,0.2,ppm,7.5,ug/m3 LC,0.033,ppm
02/05/2018,0.4,ppm,8.3,ug/m3 LC,0.031,ppm
02/06/2018,0.5,ppm,10.4,ug/m3 LC,0.035,ppm
02/07/2018,0.3,ppm,5.2,ug/m3 LC,0.035,ppm
02/07/2018,0.3,ppm,6.7,ug/m3 LC,0.035,ppm
02/08/2018,0.4,ppm,9,ug/m3 LC,0.03,ppm
02/09/2018,0.6,ppm,12.6,ug/m3 LC,0.039,ppm
02/10/2018,0.4,ppm,8,ug/m3 LC,0.022,ppm
02/10/2018,0.4,ppm,10.1,ug/m3 LC,0.022,ppm
02/11/2018,0.3,ppm,3.7,ug/m3 LC,0.025,ppm
02/12/2018,0.2,ppm,3.2,ug/m3 LC,0.03,ppm
02/13/2018,0.2,ppm,5.4,ug/m3 LC,0.033,ppm
02/13/2018,0.2,ppm,8.3,ug/m3 LC,0.033,ppm
02/14/2018,0.3,ppm,11.7,ug/m3 LC,0.026,ppm
02/15/2018,0.3,ppm,6.4,ug/m3 LC,0.026,ppm
02/16/2018,0.2,ppm,7.3,ug/m3 LC,0.035,ppm
02/16/2018,0.2,ppm,4.7,ug/m3 LC,0.035,ppm
02/17/2018,0.2,ppm,6.5,ug/m3 LC,0.03,ppm
02/18/2018,0.2,ppm,3.8,ug/m3 LC,0.038,ppm
02/19/2018,0.3,ppm,5.7,ug/m3 LC,0.025,ppm
02/19/2018,0.3,ppm,7.7,ug/m3 LC,0.025,ppm
02/20/2018,0.5,ppm,11.3,ug/m3 LC,0.018,ppm
02/21/2018,0.4,ppm,5.9,ug/m3 LC,0.017,ppm
02/22/2018,0.3,ppm,7.2,ug/m3 LC,0.022,ppm
02/22/2018,0.3,ppm,7.2,ug/m3 LC,0.022,ppm
02/23/2018,0.3,ppm,10.8,ug/m3 LC,0.021,ppm
02/24/2018,0.3,ppm,9.2,ug/m3 LC,0.031,ppm
02/25/2018,0.2,ppm,6.2,ug/m3 LC,0.033,ppm
02/25/2018,0.2,ppm,6.8,ug/m3 LC,0.033,ppm
02/26/2018,0.3,ppm,4.5,ug/m3 LC,0.032,ppm
02/27/2018,0.4,ppm,6,ug/m3 LC,0.046,ppm
02/28/2018,0.4,ppm,8.5,ug/m3 LC,0.032,ppm
02/28/2018,0.4,ppm,10.5,ug/m3 LC,0.032,ppm
03/01/2018,0.4,ppm,9,ug/m3 LC,0.038,ppm
03/02/2018,0.3,ppm,4.8,ug/m3 LC,0.046,ppm
03/03/2018,0.1,ppm,2.2,ug/m3 LC,0.046,ppm
