Date,Daily Max 8-hour CO Concentration,units_CO,Daily Mean PM2.5 Concentration,units_PM,Daily Max 8-hour Ozone Concentration,units_O3
1/1/2020,0.5,ppm,4,ug/m3 LC,0.036,ppm
1/1/2020,0.5,ppm,3.4,ug/m3 LC,0.036,ppm
1/2/2020,0.8,ppm,8.2,ug/m3 LC,0.03,ppm
1/3/2020,0.4,ppm,8.5,ug/m3 LC,0.01,ppm
1/4/2020,0.4,ppm,2.2,ug/m3 LC,0.033,ppm
1/4/2020,0.4,ppm,2,ug/m3 LC,0.033,ppm
1/4/2020,0.4,ppm,1.6,ug/m3 LC,0.033,ppm
1/5/2020,0.4,ppm,2.7,ug/m3 LC,0.032,ppm
1/6/2020,0.7,ppm,4.7,ug/m3 LC,0.033,ppm
1/7/2020,0.8,ppm,7.1,ug/m3 LC,0.028,ppm
1/7/2020,0.8,ppm,7.1,ug/m3 LC,0.028,ppm
1/8/2020,0.6,ppm,3.7,ug/m3 LC,0.035,ppm
1/9/2020,0.7,ppm,5.6,ug/m3 LC,0.03,ppm
1/10/2020,0.4,ppm,8.9,ug/m3 LC,0.027,ppm
1/10/2020,0.4,ppm,8.8,ug/m3 LC,0.027,ppm
1/11/2020,0.3,ppm,4.9,ug/m3 LC,0.032,ppm
1/12/2020,0.2,ppm,2.1,ug/m3 LC,0.026,ppm
1/13/2020,0.3,ppm,3.7,ug/m3 LC,0.017,ppm
1/13/2020,0.3,ppm,2.5,ug/m3 LC,0.017,ppm
1/14/2020,0.4,ppm,1.3,ug/m3 LC,0.02,ppm
1/15/2020,0.4,ppm,2.8,ug/m3 LC,0.018,ppm
1/16/2020,0.4,ppm,3.6,ug/m3 LC,0.037,ppm
1/16/2020,0.4,ppm,3.4,ug/m3 LC,0.037,ppm
1/16/2020,0.4,ppm,2.8,ug/m3 LC,0.037,ppm
1/17/2020,0.2,ppm,3.2,ug/m3 LC,0.033,ppm
1/18/2020,0.3,ppm,3.8,ug/m3 LC,0.028,ppm
1/19/2020,0.3,ppm,3.8,ug/m3 LC,0.037,ppm
1/19/2020,0.3,ppm,3.3,ug/m3 LC,0.037,ppm
1/20/2020,0.2,ppm,5.2,ug/m3 LC,0.033,ppm
1/21/2020,0.2,ppm,3.6,ug/m3 LC,0.04,ppm
1/22/2020,0.3,ppm,6.2,ug/m3 LC,0.037,ppm
1/22/2020,0.3,ppm,5.7,ug/m3 LC,0.037,ppm
1/22/2020,0.3,ppm,5.2,ug/m3 LC,0.037,ppm
1/23/2020,0.3,ppm,8.5,ug/m3 LC,0.031,ppm
1/24/2020,0.2,ppm,5.4,ug/m3 LC,0.034,ppm
1/25/2020,0.2,ppm,2.6,ug/m3 LC,0.032,ppm
1/25/2020,0.2,ppm,5.7,ug/m3 LC,0.032,ppm
1/26/2020,0.3,ppm,3.3,ug/m3 LC,0.034,ppm
1/27/2020,0.7,ppm,7.4,ug/m3 LC,0.026,ppm
1/28/2020,0.3,ppm,4.8,ug/m3 LC,0.039,ppm
1/28/2020,0.3,ppm,5.2,ug/m3 LC,0.039,ppm
1/28/2020,0.3,ppm,4,ug/m3 LC,0.039,ppm
1/29/2020,0.3,ppm,5.5,ug/m3 LC,0.035,ppm
1/30/2020,0.2,ppm,4.9,ug/m3 LC,0.037,ppm
1/31/2020,0.2,ppm,5.7,ug/m3 LC,0.029,ppm
1/31/2020,0.2,ppm,9,ug/m3 LC,0.029,ppm
2/1/2020,0.3,ppm,5.8,ug/m3 LC,0.029,ppm
2/2/2020,0.3,ppm,2.9,ug/m3 LC,0.038,ppm
2/3/2020,0.4,ppm,5.4,ug/m3 LC,0.04,ppm
2/3/2020,0.4,ppm,5.7,ug/m3 LC,0.04,ppm
2/3/2020,0.4,ppm,4.4,ug/m3 LC,0.04,ppm
2/4/2020,0.3,ppm,8.5,ug/m3 LC,0.039,ppm
2/5/2020,0.4,ppm,8.2,ug/m3 LC,0.03,ppm
2/6/2020,0.4,ppm,4.8,ug/m3 LC,0.029,ppm
2/6/2020,0.4,ppm,4.4,ug/m3 LC,0.029,ppm
2/7/2020,0.2,ppm,0.3,ug/m3 LC,0.034,ppm
2/8/2020,0.3,ppm,2.4,ug/m3 LC,0.036,ppm
2/9/2020,0.3,ppm,4.8,ug/m3 LC,0.038,ppm
2/9/2020,0.3,ppm,4.8,ug/m3 LC,0.038,ppm
2/9/2020,0.3,ppm,4.6,ug/m3 LC,0.038,ppm
2/10/2020,0.3,ppm,6,ug/m3 LC,0.035,ppm
2/11/2020,0.3,ppm,5.3,ug/m3 LC,0.023,ppm
2/12/2020,0.2,ppm,3.1,ug/m3 LC,0.029,ppm
2/12/2020,0.2,ppm,1.8,ug/m3 LC,0.029,ppm
2/13/2020,0.2,ppm,31.2,ug/m3 LC,0.027,ppm
2/14/2020,0.2,ppm,1.2,ug/m3 LC,0.037,ppm
2/15/2020,0.3,ppm,5.2,ug/m3 LC,0.036,ppm
2/15/2020,0.3,ppm,5,ug/m3 LC,0.036,ppm
2/15/2020,0.3,ppm,3.5,ug/m3 LC,0.036,ppm
2/16/2020,0.3,ppm,10.2,ug/m3 LC,0.037,ppm
2/17/2020,0.4,ppm,10,ug/m3 LC,0.039,ppm
2/18/2020,0.4,ppm,10.4,ug/m3 LC,0.026,ppm
2/18/2020,0.4,ppm,10.3,ug/m3 LC,0.026,ppm
2/19/2020,0.4,ppm,4.7,ug/m3 LC,0.032,ppm
2/20/2020,0.4,ppm,5,ug/m3 LC,0.03,ppm
2/21/2020,0.3,ppm,4.5,ug/m3 LC,0.04,ppm
2/21/2020,0.3,ppm,4.2,ug/m3 LC,0.04,ppm
2/21/2020,0.3,ppm,5.5,ug/m3 LC,0.04,ppm
